,Funding Orgs
125,college of Petroleum and Geoscience at King Fahd University of Petroleum Minerals
126,"College of Petroleum and Geoscience at King Fahd University of Petroleum Minerals; Center for Integrative Petroleum Research, at King Fahd University of Petroleum Minerals"
127,College of Petroleum and Geoscience at King Fahd University of Petroleum Minerals; Saudi Aramco
128,"College of Petroleum and Geoscience, at King Fahd University of Petroleum Minerals; Saudi Aramco [CIPR 2316]"
129,"college of Petroleum and Geoscience, at King Fahd University of Petroleum Minerals; Saudi Aramco [CIPR2317]"
130,"College of Petroleum and Geoscience, at King Fahd University of Petroleum Minerals; Saudi Aramco; Saudi Aramco [CIPR2316]"
131,"college of Petroleum and Geoscience, at King Fahd University of Petroleum Minerals; Saudi Aramco; Saudi Aramco [CIPR2317]"
132,College of Petroleum and Geosciences of the King Fahd University of Petroleum and Minerals; Saudi Aramco
133,"College of Petroleum and Geosciences, King Fahd University of Petroleum & Minerals, Saudi Arabia; Saudi ARAMCO [CIPR2316]"
134,"College of Petroleum and Geosciences, King Fahd University of Petroleum Minerals"
135,"College of Petroleum and Geosciences, King Fahd University of Petroleum Minerals [19012]; AGH [11.11.140.005]"
136,College of Petroleum Engineering & Geoscience (CPG) at KFUPM; University of Texas at Austin
137,"College of Petroleum Engineering & Geoscience (CPG), King Fahd University of Petroleum & Minerals, through a joint project with UT Austin [CPG-17-0124]; College of Petroleum Engineering Geoscience"
138,"College of Petroleum Engineering & Geoscience (CPG), King Fahd University of Petroleum Minerals [CPG-17-0124]; College of Petroleum Engineering Geoscience"
139,"College of Petroleum Engineering & Geoscience (CPG), King Fahd University of Petroleum Minerals [CPG-17-0124]; UT Austin [CPG-17-0124]; College of Petroleum Engineering Geoscience"
140,"College of Petroleum Engineering & Geoscience, KFUPM [SF-17003]"
141,"College of Petroleum Engineering & Geoscience, KFUPM; University of Texas at Austin"
142,College of Petroleum Engineering & Geosciences (CPG) at King Fahd University of Petroleum & Minerals (KFUPM)
143,"College of Petroleum Engineering & Geosciences (CPG) at King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia"
144,College of Petroleum Engineering & Geosciences (CPG) at King Fahd University of Petroleum Minerals [SF19031]
145,"College of Petroleum Engineering & Geosciences (King Fahd University of Petroleum & Minerals, Saudi Arabia)"
146,College of Petroleum Engineering & Geosciences at KFUPM [SF18060]
